model num,lambda,loss,accuracy,epoch,l2,l0,re loss,l1 loss,l2 loss
5,0.009000000000000001,0.9014968276023865,0.4555072784423828,600,1609.4237060546875,19.6162109375,0.1765458881855011,1.9284957647323608,0.9233312606811523
1,0.01,0.9005365371704102,0.45141032338142395,600,2261.63232421875,19.6165771484375,0.1961657553911209,1.770553469657898,0.9034087657928467
2,0.01,0.8953844308853149,0.4600304663181305,600,1735.351318359375,22.466899871826172,0.22466899454593658,1.7917622327804565,0.9279472827911377
3,0.01,0.9326269626617432,0.4538883566856384,600,1769.2447509765625,18.71259307861328,0.18712592124938965,1.7505854368209839,0.9211434721946716
4,0.01,0.8982889652252197,0.45481735467910767,600,2700.572021484375,18.665752410888672,0.18665751814842224,1.6305631399154663,0.9231019020080566
5,0.01,0.9075822234153748,0.4574746787548065,600,1822.8485107421875,20.576841354370117,0.2057684063911438,1.7736455202102661,0.886770486831665
1,0.02,0.9255150556564331,0.4495895504951477,600,2184.5771484375,18.664794921875,0.3732958734035492,1.7035434246063232,0.9236711859703064
2,0.02,0.9857388734817505,0.45517635345458984,600,1291.558349609375,18.665590286254883,0.37331175804138184,1.3453500270843506,1.0052218437194824
3,0.02,0.9002133011817932,0.46561139822006226,600,2659.910888671875,19.646059036254883,0.3929211497306824,1.7222025394439697,0.9062745571136475
4,0.02,0.9626708030700684,0.4524266719818115,600,1925.5966796875,22.496633529663086,0.44993260502815247,1.7560168504714966,0.9486340284347534
5,0.02,0.9345138072967529,0.45013442635536194,600,3016.01611328125,19.61623764038086,0.3923247456550598,1.6695349216461182,0.8936463594436646
1,0.030000000000000002,0.9659504294395447,0.44169530272483826,600,1484.58544921875,20.567161560058594,0.6170147657394409,1.8056840896606445,0.9491500854492188
2,0.030000000000000002,1.0336694717407227,0.4451371431350708,600,1112.69482421875,20.564083099365234,0.6169224977493286,1.389989972114563,1.0298384428024292
3,0.030000000000000002,1.0139613151550293,0.4593845009803772,600,1030.1246337890625,18.664165496826172,0.5599249005317688,1.3404524326324463,1.022587776184082
4,0.030000000000000002,0.9750257134437561,0.46116650104522705,600,1474.2847900390625,16.7627010345459,0.5028810501098633,1.3103876113891602,0.9801526069641113
5,0.030000000000000002,0.9095441699028015,0.45133355259895325,600,2663.0234375,18.665550231933594,0.559966504573822,1.7110002040863037,0.8965033888816833
1,0.04,0.9999755620956421,0.44842687249183655,600,1037.665771484375,18.66544532775879,0.7466177940368652,1.3166730403900146,1.0052937269210815
2,0.04,0.9632638692855835,0.45625001192092896,600,1889.2257080078125,19.609413146972656,0.7843765616416931,1.8585319519042969,0.9544280767440796
3,0.04,1.005102276802063,0.44575023651123047,600,892.7671508789062,15.802628517150879,0.6321051120758057,1.3462964296340942,0.9748570322990417
4,0.04,0.9993094205856323,0.45595237612724304,600,731.46923828125,15.808019638061523,0.632320761680603,1.3388190269470215,1.0026042461395264
5,0.04,1.005953073501587,0.46011197566986084,600,1385.71728515625,18.66103172302246,0.7464412450790405,1.3240954875946045,1.0086700916290283
1,0.05,0.9915165305137634,0.4531334936618805,600,1289.114990234375,15.773358345031738,0.7886678576469421,1.3475793600082397,0.9999704957008362
2,0.05,1.013960838317871,0.45969125628471375,600,12.746167182922363,14.862380981445312,0.7431190013885498,1.4529850482940674,1.018174171447754
3,0.05,1.0044419765472412,0.455952525138855,600,759.3353271484375,15.81307315826416,0.7906535863876343,1.3042019605636597,1.0040186643600464
4,0.05,0.9749676585197449,0.45994699001312256,600,1281.41455078125,17.712444305419922,0.8856222033500671,1.3224296569824219,1.021228313446045
5,0.05,1.0080561637878418,0.4594208002090454,600,2181.9404296875,19.58502197265625,0.9792510867118835,1.3423724174499512,1.0099936723709106
1,0.060000000000000005,0.995408296585083,0.4537223279476166,600,929.7037353515625,15.812811851501465,0.9487686157226562,1.3486219644546509,0.9919136762619019
2,0.060000000000000005,1.0088282823562622,0.4632057249546051,600,1023.4533081054688,15.795546531677246,0.9477328062057495,1.3220956325531006,0.9989018440246582
3,0.060000000000000005,0.986234188079834,0.4647383987903595,600,1096.961669921875,15.812716484069824,0.9487630128860474,1.3416929244995117,1.02627694606781
4,0.060000000000000005,1.0482839345932007,0.4541195333003998,600,233.95681762695312,17.714452743530273,1.0628671646118164,1.4699946641921997,1.0701419115066528
5,0.060000000000000005,0.98907870054245,0.459710955619812,600,886.5574340820312,15.812112808227539,0.9487267732620239,1.301926612854004,0.977622389793396
1,0.06999999999999999,1.053081750869751,0.4529924988746643,600,13.699983596801758,14.864494323730469,1.040514588356018,1.436507225036621,1.0835834741592407
2,0.06999999999999999,1.0503171682357788,0.45032012462615967,600,12.774229049682617,14.86240291595459,1.0403681993484497,1.420251488685608,1.0221730470657349
3,0.06999999999999999,1.0173901319503784,0.46094876527786255,600,12.676987648010254,14.863728523254395,1.0404609441757202,1.4367015361785889,1.0499212741851807
4,0.06999999999999999,1.0328975915908813,0.4595435559749603,600,12.957937240600586,14.86240291595459,1.0403681993484497,1.4192310571670532,1.0100055932998657
5,0.06999999999999999,1.0273796319961548,0.46024635434150696,600,12.96432876586914,14.873556137084961,1.0411489009857178,1.4163404703140259,1.0544958114624023
1,0.08,1.0648210048675537,0.45122718811035156,600,355.253173828125,15.812281608581543,1.2649824619293213,1.4491705894470215,1.0567808151245117
2,0.08,1.024592638015747,0.4530331492424011,600,12.683585166931152,14.862395286560059,1.1889915466308594,1.4193332195281982,1.0363367795944214
3,0.08,1.0228252410888672,0.4564903974533081,600,12.47288703918457,14.870142936706543,1.1896113157272339,1.410358190536499,1.0415977239608765
4,0.08,1.0302379131317139,0.46038171648979187,600,12.600586891174316,14.86240291595459,1.1889922618865967,1.428002953529358,1.0245023965835571
5,0.08,1.0507456064224243,0.4467722475528717,600,13.589540481567383,14.86240291595459,1.1889922618865967,1.444765329360962,1.0603117942810059
1,0.09000000000000001,1.0348901748657227,0.4537324011325836,600,12.647356033325195,14.86240291595459,1.337616205215454,1.38338041305542,1.0189189910888672
2,0.09000000000000001,1.046251654624939,0.44763991236686707,600,12.592545509338379,14.86240291595459,1.337616205215454,1.4578266143798828,1.0229196548461914
3,0.09000000000000001,1.0307508707046509,0.45569202303886414,600,13.639841079711914,14.8623628616333,1.3376126289367676,1.4366741180419922,1.0542904138565063
4,0.09000000000000001,1.0194286108016968,0.45825621485710144,600,12.547168731689453,14.86240291595459,1.337616205215454,1.4209250211715698,1.0269771814346313
5,0.09000000000000001,1.0615769624710083,0.4484102725982666,600,11.509029388427734,14.86240291595459,1.337616205215454,1.4199280738830566,1.0537155866622925
