r,accuracy,target
"[1.7831699848175049, 0.6428911089897156, 0.5]"
"[2.174199104309082, 0.6207376718521118, 0.5]"
"[2.100048065185547, 0.5142672061920166, 0.5]"
"[1.6931118965148926, 0.9049919843673706, 0.5]"
"[2.0329768657684326, 0.5451638698577881, 0.5]"
"[2.1792304515838623, 0.5012285113334656, 0.5]"
"[1.5949172973632812, 0.9145065546035767, 0.5]"
"[2.0026516914367676, 0.5782889127731323, 0.5]"
"[1.951833724975586, 0.6066066026687622, 0.5]"
"[2.2688746452331543, 0.5570395588874817, 0.5]"
"[2.671208143234253, 0.5017491579055786, 0.5]"
"[1.9724682569503784, 0.5020360946655273, 0.5]"
"[1.6824157238006592, 0.6666666269302368, 0.5]"
"[2.3628923892974854, 0.5060558319091797, 0.5]"
"[2.06667423248291, 0.5125073194503784, 0.5]"
"[1.7734692096710205, 0.5024232268333435, 0.5]"
"[2.2775185108184814, 0.5207907557487488, 0.5]"
"[2.626697540283203, 0.5064935088157654, 0.5]"
"[1.6916452646255493, 0.8981797099113464, 0.5]"
"[2.068120241165161, 0.5562806129455566, 0.5]"
"[2.007495880126953, 0.5235718488693237, 0.5]"
"[2.1385087966918945, 0.5073015689849854, 0.5]"
"[2.1026601791381836, 0.5015575885772705, 0.5]"
"[1.7653480768203735, 0.9056224822998047, 0.5]"
"[2.3357667922973633, 0.501118540763855, 0.5]"
"[2.147075653076172, 0.5753575563430786, 0.5]"
"[2.1951487064361572, 0.5760171413421631, 0.5]"
"[1.9955029487609863, 0.5687960982322693, 0.5]"
"[1.8286441564559937, 0.6932189464569092, 0.5]"
"[1.9547626972198486, 0.6375000476837158, 0.5]"
"[2.4413676261901855, 0.6666666865348816, 0.5]"
"[2.249342679977417, 0.508368194103241, 0.5]"
"[2.3791356086730957, 0.5026666522026062, 0.5]"
"[2.3171565532684326, 0.5004642605781555, 0.5]"
"[2.1612191200256348, 0.5017123222351074, 0.5]"
"[2.0518505573272705, 0.5034826397895813, 0.5]"
"[2.1440343856811523, 0.5073649883270264, 0.5]"
"[1.9606645107269287, 0.5021505355834961, 0.5]"
"[1.7279466390609741, 0.7348593473434448, 0.5]"
"[2.0232319831848145, 0.5168845057487488, 0.5]"
"[2.19901704788208, 0.5009804368019104, 0.5]"
"[2.471254825592041, 0.5444947481155396, 0.5]"
"[1.3984839916229248, 0.8497024178504944, 0.5]"
"[2.1165387630462646, 0.5669733881950378, 0.5]"
"[3.0324134826660156, 0.5049309730529785, 0.5]"
"[2.131882905960083, 0.6620636582374573, 0.5]"
"[1.7109768390655518, 0.6245613694190979, 0.5]"
"[2.095864772796631, 0.6666666269302368, 0.5]"
"[1.8900275230407715, 0.6744057536125183, 0.5]"
"[2.074718952178955, 0.5034188032150269, 0.5]"
"[1.8929100036621094, 0.500758707523346, 0.5]"
"[2.062910556793213, 0.5044404864311218, 0.5]"
"[2.4403252601623535, 0.5008130073547363, 0.5]"
"[1.5187748670578003, 0.8216091990470886, 0.5]"
"[2.2857863903045654, 0.5121951103210449, 0.5]"
"[1.9540941715240479, 0.5020639896392822, 0.5]"
"[2.4701995849609375, 0.6957210302352905, 0.5]"
"[2.1241402626037598, 0.5009784698486328, 0.5]"
"[2.125255823135376, 0.6063268780708313, 0.5]"
"[1.9827159643173218, 0.5780525207519531, 0.5]"
"[2.1327686309814453, 0.6399176716804504, 0.5]"
"[3.1788034439086914, 0.5002791285514832, 0.5]"
"[2.16988205909729, 0.5075922012329102, 0.5]"
"[2.0289485454559326, 0.5033707618713379, 0.5]"
"[1.7880215644836426, 0.6451002359390259, 0.5]"
"[2.5863592624664307, 0.5401554107666016, 0.5]"
"[1.9934543371200562, 0.5063926577568054, 0.5]"
"[2.1896626949310303, 0.6141514182090759, 0.5]"
"[2.1328554153442383, 0.5044901967048645, 0.5]"
"[2.0379037857055664, 0.5071225166320801, 0.5]"
"[2.0404951572418213, 0.5037800669670105, 0.5]"
"[2.4679226875305176, 0.5742574334144592, 0.5]"
"[2.4974961280822754, 0.5259026885032654, 0.5]"
"[2.20613956451416, 0.5087079405784607, 0.5]"
"[1.882214903831482, 0.6140533089637756, 0.5]"
"[1.5838820934295654, 0.8173515796661377, 0.5]"
"[1.7058181762695312, 0.630885124206543, 0.5]"
"[2.2461814880371094, 0.508438766002655, 0.5]"
"[2.18595552444458, 0.6063755750656128, 0.5]"
"[1.895222783088684, 0.6599099040031433, 0.5]"
"[2.1003122329711914, 0.5754119157791138, 0.5]"
"[2.33308744430542, 0.5584082007408142, 0.5]"
"[2.3021440505981445, 0.6148775815963745, 0.5]"
"[1.2272065877914429, 0.6791890263557434, 0.5]"
"[1.9641447067260742, 0.5973958373069763, 0.5]"
"[2.6446821689605713, 0.5028935074806213, 0.5]"
"[2.039987325668335, 0.5130845308303833, 0.5]"
"[1.835038185119629, 0.7242693901062012, 0.5]"
"[2.1771647930145264, 0.5003394484519958, 0.5]"
"[1.8050453662872314, 0.5118829607963562, 0.5]"
"[2.0094218254089355, 0.5904762148857117, 0.5]"
"[2.1177234649658203, 0.5059801936149597, 0.5]"
"[1.9844956398010254, 0.5642611384391785, 0.5]"
"[1.9376685619354248, 0.5962144732475281, 0.5]"
"[2.1611969470977783, 0.5017768144607544, 0.5]"
"[1.9593089818954468, 0.6367663145065308, 0.5]"
"[1.603598713874817, 0.8233731985092163, 0.5]"
"[2.0162510871887207, 0.5012674331665039, 0.5]"
"[2.9516191482543945, 0.5003553628921509, 0.5]"
"[2.743927001953125, 0.6666666269302368, 0.5]"
"[2.2311689853668213, 0.5035598278045654, 0.5]"
"[2.10022234916687, 0.5006313323974609, 0.5]"
"[2.1511828899383545, 0.5013946890830994, 0.5]"
"[2.243345260620117, 0.581436038017273, 0.5]"
"[2.438357353210449, 0.5063715577125549, 0.5]"
"[2.1994051933288574, 0.5029333233833313, 0.5]"
"[1.797501564025879, 0.5016129016876221, 0.5]"
"[2.0670173168182373, 0.5019493103027344, 0.5]"
"[1.8718568086624146, 0.5509839057922363, 0.5]"
"[1.8395349979400635, 0.5032386779785156, 0.5]"
"[2.0669007301330566, 0.5247148275375366, 0.5]"
"[2.045548439025879, 0.568965494632721, 0.5]"
"[1.9866751432418823, 0.6309148073196411, 0.5]"
"[2.0424137115478516, 0.5098722577095032, 0.5]"
"[1.5064092874526978, 0.6752451062202454, 0.5]"
"[1.9431310892105103, 0.5042492747306824, 0.5]"
"[2.1505417823791504, 0.5011547207832336, 0.5]"
"[2.266589403152466, 0.5014697313308716, 0.5]"
"[2.0004987716674805, 0.5074934959411621, 0.5]"
"[1.8639955520629883, 0.7070524096488953, 0.5]"
"[1.4591200351715088, 0.6552067995071411, 0.5]"
"[2.1000030040740967, 0.7476255297660828, 0.5]"
"[2.4568872451782227, 0.5120614171028137, 0.5]"
"[1.6261793375015259, 0.7819383144378662, 0.5]"
"[2.508183479309082, 0.611376941204071, 0.5]"
"[1.8249629735946655, 0.5028248429298401, 0.5]"
"[2.0695972442626953, 0.5750128030776978, 0.5]"
"[2.065298080444336, 0.5053763389587402, 0.5]"
"[2.041713237762451, 0.5005931258201599, 0.5]"
"[1.6943737268447876, 0.6666666865348816, 0.5]"
"[1.714094638824463, 0.5743589997291565, 0.5]"
"[1.9175368547439575, 0.7737588286399841, 0.5]"
"[2.209681987762451, 0.5056179761886597, 0.5]"
"[2.6840240955352783, 0.5328828692436218, 0.5]"
"[2.0386736392974854, 0.6424065828323364, 0.5]"
"[2.236039638519287, 0.5004708170890808, 0.5]"
"[1.8870813846588135, 0.6744704842567444, 0.5]"
"[2.119859218597412, 0.5440414547920227, 0.5]"
"[2.106476306915283, 0.6877022981643677, 0.5]"
"[1.9802992343902588, 0.620904803276062, 0.5]"
"[2.1980042457580566, 0.507722020149231, 0.5]"
"[1.967178225517273, 0.5011990666389465, 0.5]"
"[2.085768222808838, 0.5078502297401428, 0.5]"
"[2.3576297760009766, 0.5060317516326904, 0.5]"
"[2.0232348442077637, 0.5012255311012268, 0.5]"
"[1.946627140045166, 0.66428142786026, 0.5]"
"[3.0433685779571533, 0.6457420587539673, 0.5]"
"[2.188866138458252, 0.5723076462745667, 0.5]"
"[2.078721523284912, 0.5696305632591248, 0.5]"
"[2.0672733783721924, 0.6035398244857788, 0.5]"
"[1.7372409105300903, 0.7643384337425232, 0.5]"
"[2.434718370437622, 0.6656976938247681, 0.5]"
"[2.048518419265747, 0.5112386345863342, 0.5]"
"[2.1145942211151123, 0.5058760643005371, 0.5]"
"[1.9550890922546387, 0.5014947652816772, 0.5]"
"[2.044501543045044, 0.5048701167106628, 0.5]"
"[2.22709059715271, 0.6372549533843994, 0.5]"
"[2.1487555503845215, 0.5479999780654907, 0.5]"
"[2.0021729469299316, 0.5146276354789734, 0.5]"
"[2.1624860763549805, 0.5030864477157593, 0.5]"
"[2.9166176319122314, 0.5038461685180664, 0.5]"
"[1.9176273345947266, 0.528034508228302, 0.5]"
"[2.167271375656128, 0.5425202250480652, 0.5]"
"[1.6194511651992798, 0.9560649394989014, 0.5]"
"[1.9905667304992676, 0.7935656905174255, 0.5]"
"[2.199641466140747, 0.501165509223938, 0.5]"
"[1.84286630153656, 0.5106685757637024, 0.5]"
"[2.036691427230835, 0.5036231875419617, 0.5]"
"[1.9637694358825684, 0.7415083646774292, 0.5]"
"[2.256934642791748, 0.606447696685791, 0.5]"
"[1.90885591506958, 0.7185592651367188, 0.5]"
"[2.4636735916137695, 0.5087719559669495, 0.5]"
"[2.0965352058410645, 0.7004178762435913, 0.5]"
"[1.694476842880249, 0.9422407746315002, 0.5]"
"[2.4346790313720703, 0.5351812243461609, 0.5]"
"[2.047199249267578, 0.5062388181686401, 0.5]"
"[2.021374225616455, 0.5935143232345581, 0.5]"
"[2.2215354442596436, 0.5007633566856384, 0.5]"
"[1.528529405593872, 0.8673218488693237, 0.5]"
"[2.0454907417297363, 0.5466893315315247, 0.5]"
"[2.1020185947418213, 0.500612735748291, 0.5]"
"[3.109177589416504, 0.6666666269302368, 0.5]"
"[2.064915657043457, 0.5184599161148071, 0.5]"
"[1.9496879577636719, 0.6708275079727173, 0.5]"
"[2.0802719593048096, 0.5964125990867615, 0.5]"
"[1.291810393333435, 0.9337652921676636, 0.5]"
"[2.0418365001678467, 0.5022565722465515, 0.5]"
"[2.0315747261047363, 0.5160493850708008, 0.5]"
"[2.096388578414917, 0.5661492943763733, 0.5]"
"[2.221984624862671, 0.5246153473854065, 0.5]"
"[2.1573894023895264, 0.5276816487312317, 0.5]"
"[1.818437099456787, 0.6757188439369202, 0.5]"
"[1.950619101524353, 0.5386518239974976, 0.5]"
"[2.2577009201049805, 0.5055761933326721, 0.5]"
"[1.5749930143356323, 0.5018365383148193, 0.5]"
"[2.0489068031311035, 0.5018982291221619, 0.5]"
"[1.9901535511016846, 0.664490818977356, 0.5]"
"[2.05470609664917, 0.5055370926856995, 0.5]"
"[1.9635498523712158, 0.5597883462905884, 0.5]"
"[2.730252981185913, 0.6230842471122742, 0.5]"
"[2.6152091026306152, 0.6206193566322327, 0.5]"
"[2.0888681411743164, 0.5026686191558838, 0.5]"
"[2.3696346282958984, 0.5525238513946533, 0.5]"
"[1.9645202159881592, 0.5033801198005676, 0.5]"
"[1.6785576343536377, 0.7564575672149658, 0.5]"
"[2.1707956790924072, 0.5023391842842102, 0.5]"
"[2.1225345134735107, 0.5003436207771301, 0.5]"
"[1.8155272006988525, 0.5217605829238892, 0.5]"
"[2.3221592903137207, 0.5524742007255554, 0.5]"
"[1.9966950416564941, 0.5493630766868591, 0.5]"
"[1.3107788562774658, 0.9649122953414917, 0.5]"
"[1.7695982456207275, 0.6771025061607361, 0.5]"
"[2.5399818420410156, 0.5023391842842102, 0.5]"
"[1.6079661846160889, 0.6415180563926697, 0.5]"
"[2.003608465194702, 0.501118540763855, 0.5]"
"[2.095414638519287, 0.5035063028335571, 0.5]"
"[1.819058895111084, 0.6775362491607666, 0.5]"
"[1.6957719326019287, 0.8804444670677185, 0.5]"
"[2.3986072540283203, 0.6445915699005127, 0.5]"
"[1.5098642110824585, 0.8457388877868652, 0.5]"
"[2.159317970275879, 0.5496394634246826, 0.5]"
"[2.2647078037261963, 0.507160484790802, 0.5]"
"[2.1431736946105957, 0.5076503157615662, 0.5]"
"[1.596421480178833, 0.8236594796180725, 0.5]"
"[1.987534523010254, 0.5019741058349609, 0.5]"
"[2.154452085494995, 0.5135135054588318, 0.5]"
"[2.081408739089966, 0.5008090734481812, 0.5]"
"[2.1963820457458496, 0.6281310319900513, 0.5]"
"[1.955892562866211, 0.5440295338630676, 0.5]"
"[1.8484740257263184, 0.7025440335273743, 0.5]"
"[2.8993420600891113, 0.5520421862602234, 0.5]"
"[2.1154415607452393, 0.5255411267280579, 0.5]"
"[1.8404461145401, 0.5011111497879028, 0.5]"
"[1.9885467290878296, 0.5201877951622009, 0.5]"
"[2.1808247566223145, 0.5196893811225891, 0.5]"
"[2.05110502243042, 0.5033444762229919, 0.5]"
"[1.588424801826477, 0.9469026923179626, 0.5]"
"[2.326871156692505, 0.5029686093330383, 0.5]"
"[2.115072727203369, 0.5009487271308899, 0.5]"
"[2.0749692916870117, 0.6547433733940125, 0.5]"
"[2.1417739391326904, 0.5023474097251892, 0.5]"
"[2.074159860610962, 0.6180757880210876, 0.5]"
"[2.082284450531006, 0.5034722685813904, 0.5]"
"[2.1719555854797363, 0.5011337995529175, 0.5]"
"[2.0416574478149414, 0.5551894903182983, 0.5]"
