r,accuracy,target
"[1.9843411445617676, 0.6655116677284241, 0.5]"
"[1.9914729595184326, 0.6599233746528625, 0.5]"
"[2.0481903553009033, 0.5028471946716309, 0.5]"
"[1.7809851169586182, 0.5006096363067627, 0.5]"
"[1.82965886592865, 0.6678820252418518, 0.5]"
"[2.220935821533203, 0.6601574420928955, 0.5]"
"[1.8907465934753418, 0.5001693964004517, 0.5]"
"[1.5200499296188354, 0.8321754932403564, 0.5]"
"[2.214482307434082, 0.6647918224334717, 0.5]"
"[1.947458028793335, 0.5008319020271301, 0.5]"
"[1.2494100332260132, 0.9985150694847107, 0.5]"
"[1.796339511871338, 0.5002425312995911, 0.5]"
"[2.1906189918518066, 0.8316556215286255, 0.5]"
"[2.0861868858337402, 0.5001962780952454, 0.5]"
"[2.028965473175049, 0.500217616558075, 0.5]"
"[2.3993079662323, 0.5002047419548035, 0.5]"
"[2.135262966156006, 0.5011983513832092, 0.5]"
"[4.28729772567749, 0.5006006956100464, 0.5]"
"[2.049670696258545, 0.6617668271064758, 0.5]"
"[1.813906192779541, 0.6657969951629639, 0.5]"
"[1.849260926246643, 0.6596001982688904, 0.5]"
"[2.053307056427002, 0.5005683302879333, 0.5]"
"[2.007399082183838, 0.6554504632949829, 0.5]"
"[1.9520072937011719, 0.5001748204231262, 0.5]"
"[2.0361790657043457, 0.6607511639595032, 0.5]"
"[2.410555601119995, 0.5004749894142151, 0.5]"
"[1.9584898948669434, 0.5002025961875916, 0.5]"
"[1.0862336158752441, 0.8324422836303711, 0.5]"
"[2.4035210609436035, 0.6615771055221558, 0.5]"
"[1.6051959991455078, 0.8319548964500427, 0.5]"
"[2.6879332065582275, 0.6571099162101746, 0.5]"
"[1.6495320796966553, 0.83245849609375, 0.5]"
"[1.8442542552947998, 0.502772867679596, 0.5]"
"[1.836553931236267, 0.8244212865829468, 0.5]"
"[1.9687023162841797, 0.8301492929458618, 0.5]"
"[2.1089401245117188, 0.6666666865348816, 0.5]"
"[2.2873644828796387, 0.5001768469810486, 0.5]"
"[1.9796712398529053, 0.8219990134239197, 0.5]"
"[1.9219329357147217, 0.5001623034477234, 0.5]"
"[1.9631348848342896, 0.6666666269302368, 0.5]"
"[2.0642783641815186, 0.501196026802063, 0.5]"
"[2.109459638595581, 0.6658161282539368, 0.5]"
"[2.271751642227173, 0.6622706651687622, 0.5]"
"[1.989248275756836, 0.5030058026313782, 0.5]"
"[1.909285068511963, 0.5033159852027893, 0.5]"
"[2.248443365097046, 0.5002157688140869, 0.5]"
"[3.305593967437744, 0.5031614303588867, 0.5]"
"[2.075042486190796, 0.5012593269348145, 0.5]"
"[2.09830904006958, 0.8291072249412537, 0.5]"
"[1.8417398929595947, 0.6602861285209656, 0.5]"
"[2.0032527446746826, 0.5001896023750305, 0.5]"
"[1.8961799144744873, 0.8322229385375977, 0.5]"
"[1.988163948059082, 0.6626108288764954, 0.5]"
"[1.789835810661316, 0.5001713633537292, 0.5]"
"[1.8510370254516602, 0.6624088883399963, 0.5]"
"[2.1226625442504883, 0.5001899600028992, 0.5]"
"[2.4647655487060547, 0.5002177357673645, 0.5]"
"[1.8933384418487549, 0.5004606246948242, 0.5]"
"[2.1027379035949707, 0.6657864451408386, 0.5]"
"[2.0321874618530273, 0.500220000743866, 0.5]"
"[1.9938591718673706, 0.5001747608184814, 0.5]"
"[2.2078113555908203, 0.5006378889083862, 0.5]"
"[1.719877004623413, 0.6693678498268127, 0.5]"
"[2.396700620651245, 0.5001505017280579, 0.5]"
"[1.273091197013855, 0.9978973865509033, 0.5]"
"[2.0164284706115723, 0.5001952648162842, 0.5]"
"[1.887186884880066, 0.5001935362815857, 0.5]"
"[2.05826735496521, 0.5018741488456726, 0.5]"
"[1.4209213256835938, 0.6753427982330322, 0.5]"
"[1.920320749282837, 0.5005117654800415, 0.5]"
"[4.25230073928833, 0.5001894235610962, 0.5]"
"[2.2890539169311523, 0.5004669427871704, 0.5]"
"[1.9860289096832275, 0.5001712441444397, 0.5]"
"[1.9318774938583374, 0.5035715699195862, 0.5]"
"[2.1256163120269775, 0.6580575108528137, 0.5]"
"[1.8828911781311035, 0.6666666865348816, 0.5]"
"[2.250717878341675, 0.500203013420105, 0.5]"
"[1.9522168636322021, 0.6673893332481384, 0.5]"
"[1.9331085681915283, 0.6627343893051147, 0.5]"
"[1.6896439790725708, 0.6659654974937439, 0.5]"
"[1.6116511821746826, 0.832126796245575, 0.5]"
"[1.949429988861084, 0.5001704096794128, 0.5]"
"[2.5212905406951904, 0.5001875758171082, 0.5]"
"[1.9397943019866943, 0.500061571598053, 0.5]"
"[2.2162623405456543, 0.7090803980827332, 0.5]"
"[2.0819759368896484, 0.5001532435417175, 0.5]"
"[2.1757149696350098, 0.5005195140838623, 0.5]"
"[2.0731143951416016, 0.5001726150512695, 0.5]"
"[1.9896750450134277, 0.5009465217590332, 0.5]"
"[2.736490249633789, 0.500648021697998, 0.5]"
"[1.8854284286499023, 0.6652818918228149, 0.5]"
"[3.0284063816070557, 0.5012966990470886, 0.5]"
"[2.0274035930633545, 0.6675217151641846, 0.5]"
"[2.5501761436462402, 0.5001699924468994, 0.5]"
"[2.2130215167999268, 0.5001952052116394, 0.5]"
"[1.8682405948638916, 0.6585035920143127, 0.5]"
"[1.9312889575958252, 0.6655281782150269, 0.5]"
"[1.4176909923553467, 0.8314688801765442, 0.5]"
"[1.4764280319213867, 0.6659160852432251, 0.5]"
"[2.009441614151001, 0.6658021807670593, 0.5]"
