r,accuracy
"[0.5971078276634216, 0.959112286567688]"
"[0.4855463206768036, 0.9619848132133484]"
"[0.5431300401687622, 0.9596225023269653]"
"[0.618288516998291, 0.9616500735282898]"
"[0.5972124934196472, 0.9613190293312073]"
"[0.5514517426490784, 0.9591994285583496]"
"[0.5245593190193176, 0.9620612859725952]"
"[0.7665296792984009, 0.9625524282455444]"
"[0.7016963958740234, 0.9619892835617065]"
"[0.8227595090866089, 0.9650479555130005]"
"[0.4618280827999115, 0.9632099866867065]"
"[0.5457360148429871, 0.9597780704498291]"
"[0.5520883798599243, 0.9615195393562317]"
"[0.6994954943656921, 0.9632741212844849]"
"[0.6645870208740234, 0.9622341990470886]"
"[0.6216068267822266, 0.9611157178878784]"
"[0.7042052149772644, 0.9612128734588623]"
"[0.7146933078765869, 0.9590339660644531]"
"[0.6907588243484497, 0.9620111584663391]"
"[0.5209097862243652, 0.9624842405319214]"
"[0.5808156728744507, 0.9622514247894287]"
"[0.7609716653823853, 0.9611555933952332]"
"[0.7493022680282593, 0.9622359871864319]"
"[0.4922439455986023, 0.9615426063537598]"
"[0.6589391827583313, 0.961904764175415]"
"[0.745869517326355, 0.9603201150894165]"
"[0.7417929172515869, 0.9634197950363159]"
"[0.7606225609779358, 0.9624661803245544]"
"[0.5880383253097534, 0.9616073369979858]"
"[0.5990275740623474, 0.9639694094657898]"
"[0.7558151483535767, 0.9616429209709167]"
"[0.608013927936554, 0.9617117643356323]"
"[0.6266236305236816, 0.9621586203575134]"
"[0.6796567440032959, 0.964225709438324]"
"[0.6305488348007202, 0.9586442708969116]"
"[0.5486905574798584, 0.9633164405822754]"
"[0.6332536935806274, 0.9624689817428589]"
"[0.5854012966156006, 0.9580434560775757]"
"[0.7945510745048523, 0.9606631994247437]"
"[0.5753991007804871, 0.9615159034729004]"
"[0.48110249638557434, 0.9614676833152771]"
"[0.5874280333518982, 0.9640258550643921]"
"[0.5892142653465271, 0.9611458778381348]"
"[0.517996072769165, 0.9611931443214417]"
"[0.5725269913673401, 0.9615424871444702]"
"[0.7664903998374939, 0.9665195941925049]"
"[0.7829223871231079, 0.9610961079597473]"
"[0.6706470251083374, 0.9611127972602844]"
"[0.6134515404701233, 0.961240291595459]"
"[0.42113518714904785, 0.963513195514679]"
"[0.7995061874389648, 0.9604635238647461]"
"[0.6121248006820679, 0.9620876908302307]"
"[0.5096815228462219, 0.9605734944343567]"
"[0.6449443697929382, 0.9594539403915405]"
"[0.5923956632614136, 0.9637724161148071]"
"[0.7139923572540283, 0.9613929390907288]"
"[0.7607885003089905, 0.961073637008667]"
"[0.641592264175415, 0.9594392776489258]"
"[0.5418844819068909, 0.9585960507392883]"
"[0.5200620889663696, 0.9621328711509705]"
"[0.6191310286521912, 0.9598166346549988]"
"[0.834434986114502, 0.9635258316993713]"
"[0.5017009973526001, 0.9602794051170349]"
"[0.5680814981460571, 0.9630258679389954]"
"[0.5319629907608032, 0.9609566926956177]"
"[0.4624546766281128, 0.9628759026527405]"
"[0.8584712743759155, 0.9602697491645813]"
"[0.5819607973098755, 0.9597247838973999]"
"[0.6966447234153748, 0.9621163010597229]"
"[0.7323533892631531, 0.9590714573860168]"
"[0.525134801864624, 0.9618656635284424]"
"[0.6350904107093811, 0.9612909555435181]"
"[0.47154000401496887, 0.9602828621864319]"
"[0.6091775894165039, 0.9611018896102905]"
"[0.7167809009552002, 0.9611806273460388]"
"[0.8271834850311279, 0.9597553014755249]"
"[0.7054097652435303, 0.9588003158569336]"
"[0.5731816291809082, 0.962037980556488]"
"[0.5595382452011108, 0.9624316692352295]"
"[0.7341633439064026, 0.9609348773956299]"
"[0.7660974860191345, 0.9650176763534546]"
"[0.5902727246284485, 0.9622369408607483]"
"[0.7996804118156433, 0.963752269744873]"
"[0.5525910258293152, 0.9603960514068604]"
"[0.4321565628051758, 0.962205171585083]"
"[0.5451834201812744, 0.9614285826683044]"
"[0.5927508473396301, 0.964411735534668]"
"[0.6226111054420471, 0.96052485704422]"
"[0.7035435438156128, 0.9624468684196472]"
"[0.7117942571640015, 0.9584993124008179]"
"[0.5662575960159302, 0.9599061012268066]"
"[0.4872932732105255, 0.9625123143196106]"
"[0.6604335904121399, 0.9607902765274048]"
"[0.5488849878311157, 0.9645370244979858]"
"[0.5021719336509705, 0.9634512066841125]"
"[0.6208615303039551, 0.9642638564109802]"
"[0.6738513708114624, 0.9653534889221191]"
"[0.44004034996032715, 0.961836040019989]"
"[0.47428444027900696, 0.9620644450187683]"
"[0.5118913650512695, 0.9604752063751221]"
"[0.6423735022544861, 0.9656902551651001]"
"[0.7433441877365112, 0.9604377150535583]"
"[0.5069383978843689, 0.9615384936332703]"
"[0.42849063873291016, 0.9640408754348755]"
"[0.6529480814933777, 0.9604641795158386]"
"[0.8216768503189087, 0.9590328931808472]"
"[0.7973252534866333, 0.9612603783607483]"
"[0.6674829721450806, 0.960289478302002]"
"[0.9575792551040649, 0.9589565396308899]"
"[0.5267544388771057, 0.9591119885444641]"
"[0.5544012784957886, 0.9609951376914978]"
"[0.6038955450057983, 0.9578286409378052]"
"[0.6073058843612671, 0.9634028077125549]"
"[0.6801225543022156, 0.9643574357032776]"
"[0.5713635683059692, 0.9598791599273682]"
"[0.4984566569328308, 0.9627348184585571]"
"[0.7498570084571838, 0.9624162316322327]"
"[0.8232936859130859, 0.9591163992881775]"
"[0.5421236753463745, 0.9604707360267639]"
"[0.5294998288154602, 0.9611024260520935]"
"[0.5107880234718323, 0.959309995174408]"
"[0.6382996439933777, 0.9571325182914734]"
"[0.528651237487793, 0.9599819779396057]"
"[0.7463648915290833, 0.9617011547088623]"
"[0.4782126545906067, 0.9627179503440857]"
"[0.6195544004440308, 0.9603005647659302]"
"[0.7942432165145874, 0.9617061018943787]"
"[0.5650824308395386, 0.9608317613601685]"
"[0.4988381564617157, 0.9598381519317627]"
"[0.616533100605011, 0.9633444547653198]"
"[0.7448415756225586, 0.9614055156707764]"
"[0.5979322195053101, 0.9591027498245239]"
"[0.47882845997810364, 0.9596028923988342]"
"[0.8706473708152771, 0.9642078876495361]"
"[0.7467159032821655, 0.96254563331604]"
"[0.6190881729125977, 0.9592198729515076]"
"[0.6683592200279236, 0.9614095687866211]"
"[0.6166952252388, 0.9621184468269348]"
"[0.6338553428649902, 0.9630751609802246]"
"[0.6854040622711182, 0.9639726877212524]"
"[0.6412214040756226, 0.9610178470611572]"
"[0.8116382956504822, 0.9607653021812439]"
"[0.6244997978210449, 0.9621971845626831]"
"[0.7005059123039246, 0.9628510475158691]"
"[0.6273375749588013, 0.9642633199691772]"
"[0.5913400650024414, 0.9548332095146179]"
"[0.6425349712371826, 0.9628395438194275]"
"[0.5377981662750244, 0.9628904461860657]"
"[0.5422852039337158, 0.9612852334976196]"
"[0.6498273611068726, 0.9639327526092529]"
"[0.48290228843688965, 0.962461531162262]"
"[0.7627731561660767, 0.9587780237197876]"
"[0.6222690939903259, 0.9608079791069031]"
"[0.7785435318946838, 0.9606601595878601]"
"[0.5338709354400635, 0.9635835886001587]"
"[0.5379323959350586, 0.964020848274231]"
"[0.6365941166877747, 0.9620054960250854]"
"[0.8089379072189331, 0.9594328999519348]"
"[0.6491484045982361, 0.9644589424133301]"
"[0.500399112701416, 0.9600000381469727]"
"[0.5358770489692688, 0.9598432779312134]"
"[0.48928701877593994, 0.9599920511245728]"
"[0.5493155121803284, 0.9612166285514832]"
"[0.5903416275978088, 0.959244966506958]"
"[0.5675660371780396, 0.9598754644393921]"
"[0.7317019701004028, 0.9634489417076111]"
"[0.7306181788444519, 0.9624128937721252]"
"[0.6866841316223145, 0.9626272320747375]"
"[0.4711225926876068, 0.9611682891845703]"
"[0.742884635925293, 0.9614197015762329]"
"[0.5698429346084595, 0.9626007080078125]"
"[0.5692257881164551, 0.9625850319862366]"
"[0.5933334827423096, 0.9624093174934387]"
"[0.7013669610023499, 0.9600363373756409]"
"[0.6392899751663208, 0.9597507119178772]"
"[0.7084248661994934, 0.9639837145805359]"
"[0.5373422503471375, 0.9616582989692688]"
"[0.6484869122505188, 0.9616426825523376]"
"[0.5580973625183105, 0.960549533367157]"
"[0.5244855880737305, 0.9600176215171814]"
"[0.5703459978103638, 0.9612799882888794]"
"[0.5909290909767151, 0.9582306742668152]"
"[0.5876666903495789, 0.9604256749153137]"
"[0.6422369480133057, 0.9607596397399902]"
"[0.698443591594696, 0.9606509804725647]"
"[0.6830209493637085, 0.9596366286277771]"
"[0.4888257384300232, 0.9634110331535339]"
"[0.7224724292755127, 0.9610592126846313]"
"[0.5822764039039612, 0.9650458693504333]"
"[0.7996479272842407, 0.9635215401649475]"
"[0.6937518119812012, 0.9645510315895081]"
"[0.5427372455596924, 0.9620215892791748]"
"[0.6986386775970459, 0.9602975249290466]"
"[0.5617452263832092, 0.9643734693527222]"
"[0.6237253546714783, 0.9615023136138916]"
"[0.5579714179039001, 0.9588350057601929]"
"[0.6248984336853027, 0.9630101919174194]"
"[0.5416622757911682, 0.9599125981330872]"
