r,accuracy
"[0.4673057198524475, 0.9608691334724426]"
"[0.4616185426712036, 0.9626827836036682]"
"[0.5455248355865479, 0.9607585072517395]"
"[0.5993691682815552, 0.9622247219085693]"
"[0.8531522154808044, 0.9610514044761658]"
"[0.7423127293586731, 0.9608986973762512]"
"[0.5954525470733643, 0.961071252822876]"
"[0.6004220247268677, 0.9624940752983093]"
"[0.642069399356842, 0.9628463387489319]"
"[0.661354660987854, 0.9588825106620789]"
"[0.45007744431495667, 0.9627039432525635]"
"[0.5764613151550293, 0.9629985094070435]"
"[0.60688316822052, 0.9615111947059631]"
"[0.6029278039932251, 0.9653799533843994]"
"[0.6404109597206116, 0.9592857956886292]"
"[0.7787988185882568, 0.9593791365623474]"
"[0.5136082172393799, 0.9607899188995361]"
"[0.9771324396133423, 0.9598093628883362]"
"[0.6016637086868286, 0.9594487547874451]"
"[0.5052282810211182, 0.9614056348800659]"
"[0.5168009996414185, 0.9604241847991943]"
"[0.7739576697349548, 0.9626158475875854]"
"[0.6462541222572327, 0.9588211178779602]"
"[0.8064380884170532, 0.9600657820701599]"
"[0.5060563087463379, 0.9639363884925842]"
"[0.9057937264442444, 0.960268497467041]"
"[0.6699278950691223, 0.9620997309684753]"
"[0.43784230947494507, 0.9639079570770264]"
"[0.5954300761222839, 0.9608728289604187]"
"[0.8022327423095703, 0.9601798057556152]"
"[0.5242369174957275, 0.9626303315162659]"
"[0.6162318587303162, 0.9640523195266724]"
"[0.5811423063278198, 0.9593806862831116]"
"[0.5982354283332825, 0.9652358889579773]"
"[0.5423954129219055, 0.9601620435714722]"
"[0.7137928605079651, 0.9658942818641663]"
"[0.740696907043457, 0.9586228728294373]"
"[0.6838494539260864, 0.959604799747467]"
"[0.8733968734741211, 0.9639143943786621]"
"[0.5326985120773315, 0.9607110619544983]"
"[0.573854923248291, 0.9625139236450195]"
"[0.7437859773635864, 0.9629865288734436]"
"[0.514789342880249, 0.9642341732978821]"
"[0.4644682705402374, 0.9613743424415588]"
"[0.7366363406181335, 0.9593520760536194]"
"[0.6633775234222412, 0.9650680422782898]"
"[0.6068679094314575, 0.9598552584648132]"
"[0.42683297395706177, 0.9604372382164001]"
"[0.5935218334197998, 0.9563183784484863]"
"[0.7382441759109497, 0.9582459330558777]"
"[0.7340453267097473, 0.9627659320831299]"
"[0.6931749582290649, 0.9570029973983765]"
"[0.7635458111763, 0.9607900977134705]"
"[0.48753538727760315, 0.9614250063896179]"
"[0.6462778449058533, 0.9603332281112671]"
"[0.5712865591049194, 0.961576521396637]"
"[0.5131374001502991, 0.9623448848724365]"
"[0.749658465385437, 0.9619743824005127]"
"[0.6887584924697876, 0.961499810218811]"
"[0.6731740236282349, 0.9603174924850464]"
"[0.5156927704811096, 0.9647256135940552]"
"[0.5713100433349609, 0.9616724252700806]"
"[0.7096701860427856, 0.9626765847206116]"
"[0.5255340337753296, 0.9617021083831787]"
"[0.571699321269989, 0.9616743922233582]"
"[0.5756087303161621, 0.9618726372718811]"
"[0.7265492677688599, 0.9621511697769165]"
"[0.5222935676574707, 0.9573581218719482]"
"[0.6237391829490662, 0.9626539349555969]"
"[0.42886000871658325, 0.9623723030090332]"
"[0.5031135082244873, 0.9631776809692383]"
"[0.799597978591919, 0.9621756076812744]"
"[0.5206146836280823, 0.9619452357292175]"
"[0.5127772688865662, 0.9641343355178833]"
"[0.5290834903717041, 0.9596548080444336]"
"[1.0951565504074097, 0.9605956673622131]"
"[0.6619518995285034, 0.9630094170570374]"
"[0.5798172950744629, 0.9596834182739258]"
"[0.6790627241134644, 0.961773693561554]"
"[0.578115701675415, 0.958491325378418]"
"[0.5033896565437317, 0.9609885811805725]"
"[1.0552505254745483, 0.9619383811950684]"
"[0.5911953449249268, 0.9584946036338806]"
"[0.4560479521751404, 0.9599539637565613]"
"[0.4994310140609741, 0.9603778123855591]"
"[0.5164709091186523, 0.9630487561225891]"
"[0.6400423049926758, 0.962414026260376]"
"[0.6719011664390564, 0.9640979170799255]"
"[0.4676353931427002, 0.9594796299934387]"
"[0.6056077480316162, 0.9580479264259338]"
"[0.7166179418563843, 0.9621880650520325]"
"[0.5829576253890991, 0.9603031277656555]"
"[0.5265841484069824, 0.9631988406181335]"
"[0.5345904231071472, 0.9579032063484192]"
"[0.7705810070037842, 0.9583711624145508]"
"[0.49270251393318176, 0.9619497060775757]"
"[0.5240310430526733, 0.9631101489067078]"
"[0.5282973051071167, 0.9590145349502563]"
"[0.7410613298416138, 0.9623034596443176]"
"[0.5459766983985901, 0.9638938903808594]"
"[0.5691678524017334, 0.9591280221939087]"
"[0.45748019218444824, 0.9629389047622681]"
"[0.45535942912101746, 0.9590563774108887]"
"[0.6925857663154602, 0.9601079821586609]"
"[0.5017035007476807, 0.9597125053405762]"
"[0.4752369523048401, 0.9612229466438293]"
"[0.6666673421859741, 0.9611835479736328]"
"[0.6030046343803406, 0.9645752310752869]"
"[0.6336718797683716, 0.9605354070663452]"
"[0.7525298595428467, 0.9602116942405701]"
"[0.8434203863143921, 0.9608571529388428]"
"[0.5843270421028137, 0.9605339765548706]"
"[0.5425892472267151, 0.9625793099403381]"
"[0.5448041558265686, 0.9632883071899414]"
"[0.8723003268241882, 0.960346519947052]"
"[0.7222647070884705, 0.9600797891616821]"
"[0.632844090461731, 0.9594213962554932]"
"[0.6639870405197144, 0.9599414467811584]"
"[0.5443183779716492, 0.9637963771820068]"
"[0.8084990978240967, 0.9608433842658997]"
"[0.5806115865707397, 0.960598886013031]"
"[0.5576812028884888, 0.9629863500595093]"
"[0.5244839191436768, 0.9606996774673462]"
"[0.8084535598754883, 0.9606783390045166]"
"[0.6173532009124756, 0.9617576599121094]"
"[0.7123235464096069, 0.9609684944152832]"
"[0.80991131067276, 0.9602346420288086]"
"[0.47212713956832886, 0.9627981185913086]"
"[0.5253006815910339, 0.9597684741020203]"
"[0.5410386919975281, 0.959357738494873]"
"[0.654938817024231, 0.9621887803077698]"
"[0.6156044602394104, 0.9607468247413635]"
"[0.5250284671783447, 0.9619768261909485]"
"[0.6564600467681885, 0.9582139253616333]"
"[0.697426438331604, 0.9621338844299316]"
"[0.6552228331565857, 0.9606832265853882]"
"[1.1796236038208008, 0.9618016481399536]"
"[0.4761078953742981, 0.9651307463645935]"
"[0.6095392107963562, 0.9604173302650452]"
"[0.46372872591018677, 0.9647917747497559]"
"[0.7021063566207886, 0.9602405428886414]"
"[0.47295406460762024, 0.9643821716308594]"
"[0.41986513137817383, 0.9650605320930481]"
"[0.7445316314697266, 0.9585557579994202]"
"[0.7292671799659729, 0.9609751105308533]"
"[0.6006751656532288, 0.9617534279823303]"
"[0.6319996118545532, 0.9608012437820435]"
"[0.5737541913986206, 0.9624637365341187]"
"[0.5299606919288635, 0.9614150524139404]"
"[0.7809397578239441, 0.9596485495567322]"
"[0.488729864358902, 0.9620083570480347]"
"[0.7052701115608215, 0.9624468684196472]"
"[0.5723627209663391, 0.9574325084686279]"
"[0.6133460402488708, 0.958150327205658]"
"[0.5914446115493774, 0.9600604176521301]"
"[0.6292871236801147, 0.961075484752655]"
"[0.4899459183216095, 0.9624097943305969]"
"[0.43891915678977966, 0.962774932384491]"
"[0.6801539659500122, 0.9641123414039612]"
"[0.7978408336639404, 0.9642857313156128]"
"[0.5651699304580688, 0.9599004983901978]"
"[0.5070552229881287, 0.9614477753639221]"
"[0.6211636662483215, 0.9602266550064087]"
"[0.6172215342521667, 0.962881863117218]"
"[0.8174084424972534, 0.9615955948829651]"
"[0.7417675256729126, 0.9580712914466858]"
"[0.7538719177246094, 0.9614649415016174]"
"[0.5846893787384033, 0.9615344405174255]"
"[0.49344077706336975, 0.9596689939498901]"
"[0.4796643853187561, 0.9635779857635498]"
"[0.48107755184173584, 0.9588027000427246]"
"[0.45396688580513, 0.9601974487304688]"
"[0.5596264600753784, 0.9638622403144836]"
"[0.5380829572677612, 0.9634872078895569]"
"[0.49291136860847473, 0.9627054929733276]"
"[0.8130773305892944, 0.95963054895401]"
"[0.5691395998001099, 0.9618783593177795]"
"[0.5286759734153748, 0.9615502953529358]"
"[0.6024946570396423, 0.9623128175735474]"
"[0.5574134588241577, 0.9621187448501587]"
"[0.553768515586853, 0.9612403512001038]"
"[0.6736823320388794, 0.9637283682823181]"
"[0.702619194984436, 0.9573158025741577]"
"[0.6299989819526672, 0.9605826735496521]"
"[0.571914792060852, 0.9598544239997864]"
"[0.7482355237007141, 0.9617708325386047]"
"[0.5795325040817261, 0.9628514051437378]"
"[0.8455501198768616, 0.9628904461860657]"
"[0.4731563925743103, 0.9616707563400269]"
"[0.7613303065299988, 0.961276650428772]"
"[0.6661543846130371, 0.9609544277191162]"
"[0.5922464728355408, 0.9611529111862183]"
"[0.6442193984985352, 0.9634042382240295]"
"[0.6653395295143127, 0.9611251354217529]"
"[0.9375836253166199, 0.6821858286857605]"
"[0.6406970620155334, 0.9625948667526245]"
"[0.6083536148071289, 0.9602691531181335]"
"[0.6012575626373291, 0.9604930281639099]"
"[0.6726205348968506, 0.9571929574012756]"
"[0.890878438949585, 0.9607906341552734]"
"[0.502613365650177, 0.9607273936271667]"
"[0.5585224032402039, 0.9605165719985962]"
"[0.600805938243866, 0.9640319347381592]"
"[0.49374905228614807, 0.9641310572624207]"
"[0.696857213973999, 0.9631542563438416]"
"[0.7091681957244873, 0.9605288505554199]"
"[0.5228347778320312, 0.9643574357032776]"
"[0.8049057126045227, 0.9626641869544983]"
"[0.7589229345321655, 0.9617722630500793]"
"[0.5748786926269531, 0.9627451300621033]"
"[0.4751168191432953, 0.9616904854774475]"
"[0.5229915976524353, 0.9621539115905762]"
"[0.5850720405578613, 0.9585170149803162]"
"[0.7830919623374939, 0.9630669951438904]"
"[0.5813533067703247, 0.9604189395904541]"
"[0.5189608335494995, 0.9601848721504211]"
"[0.5983690619468689, 0.9610689282417297]"
"[0.700314998626709, 0.9593154788017273]"
"[0.7793760895729065, 0.9626631736755371]"
"[0.48966559767723083, 0.9618554711341858]"
"[0.5931124687194824, 0.9600773453712463]"
"[0.631854772567749, 0.9625216126441956]"
"[0.6903143525123596, 0.9629513025283813]"
"[0.5795720815658569, 0.9634605646133423]"
"[0.7567031383514404, 0.9612811207771301]"
"[0.5326086282730103, 0.9605106711387634]"
"[0.6684021949768066, 0.961104154586792]"
"[0.5994384288787842, 0.9594805836677551]"
"[0.535823404788971, 0.9630590081214905]"
"[0.7048012018203735, 0.9635547399520874]"
"[0.6140350699424744, 0.9623477458953857]"
"[0.7568867206573486, 0.9602872729301453]"
"[0.6721266508102417, 0.9617505669593811]"
"[0.7734057903289795, 0.9620950818061829]"
"[1.188525676727295, 0.960660457611084]"
"[0.49715518951416016, 0.9623443484306335]"
"[0.8100385069847107, 0.9609589576721191]"
"[0.5732923150062561, 0.9599395394325256]"
"[0.9032041430473328, 0.9594936966896057]"
"[0.4780206084251404, 0.9629125595092773]"
"[0.6704387068748474, 0.9592949748039246]"
"[0.6853042244911194, 0.9639273881912231]"
"[0.6616111993789673, 0.9602901339530945]"
"[0.6073788404464722, 0.9597187042236328]"
"[0.6073744893074036, 0.9626010656356812]"
"[0.5936692953109741, 0.9616410136222839]"
"[0.549177885055542, 0.9605975151062012]"
"[0.6758018136024475, 0.9616934061050415]"
"[0.5104101300239563, 0.9618633985519409]"
"[0.6516087055206299, 0.9635782837867737]"
"[0.7957533597946167, 0.9620969295501709]"
"[0.5336135029792786, 0.9624789357185364]"
"[0.7576720118522644, 0.959075927734375]"
"[0.5670660138130188, 0.959818422794342]"
"[0.5972039699554443, 0.9598496556282043]"
"[0.7207368612289429, 0.9621211886405945]"
"[0.5071187615394592, 0.960574746131897]"
"[0.6724199652671814, 0.9631730318069458]"
"[0.4724665582180023, 0.9632725119590759]"
"[0.5087484121322632, 0.960390031337738]"
"[0.603075385093689, 0.9609589576721191]"
"[0.5790740251541138, 0.9644774794578552]"
"[0.5988324880599976, 0.9616208672523499]"
"[0.921384334564209, 0.9611697793006897]"
"[0.6021135449409485, 0.9609749913215637]"
"[0.755791187286377, 0.961376965045929]"
"[0.6671736240386963, 0.9607290029525757]"
"[0.5640917420387268, 0.9603105783462524]"
"[0.4806397557258606, 0.962191104888916]"
"[0.9137325286865234, 0.9615843296051025]"
"[0.5479164123535156, 0.9611364603042603]"
"[0.7950392961502075, 0.9638604521751404]"
"[0.6296743750572205, 0.9630769491195679]"
"[0.6180808544158936, 0.9594763517379761]"
"[0.6382510662078857, 0.9598801136016846]"
"[0.548854649066925, 0.9642611742019653]"
"[0.5195298194885254, 0.9642625451087952]"
"[0.4914385974407196, 0.9623016119003296]"
"[0.7096995711326599, 0.9581694602966309]"
"[0.8540153503417969, 0.9622136354446411]"
"[0.5451675653457642, 0.9626542329788208]"
"[0.8027712106704712, 0.9632949233055115]"
"[0.523431122303009, 0.9598603844642639]"
"[0.6483237743377686, 0.9626119136810303]"
"[0.6619428396224976, 0.9608018398284912]"
"[0.7528863549232483, 0.9615299105644226]"
"[0.5513871312141418, 0.9597191214561462]"
"[0.6405893564224243, 0.9597598910331726]"
"[0.861986517906189, 0.9601597785949707]"
"[0.6266200542449951, 0.9629291296005249]"
"[0.5715574026107788, 0.9611827731132507]"
"[0.535727322101593, 0.9599559307098389]"
"[0.46956607699394226, 0.959705650806427]"
"[0.559604823589325, 0.9595901966094971]"
"[0.5878669619560242, 0.960236132144928]"
"[0.7327143549919128, 0.9617376327514648]"
"[0.9392529129981995, 0.7691517472267151]"
"[0.4638453722000122, 0.9620164632797241]"
"[0.5170093774795532, 0.9580971598625183]"
"[0.5407549738883972, 0.9613001346588135]"
"[0.510586142539978, 0.9620332717895508]"
"[0.814312219619751, 0.9607585072517395]"
"[0.6003605127334595, 0.9625260829925537]"
"[0.5794966816902161, 0.9614253044128418]"
"[0.6756699085235596, 0.9623815417289734]"
"[0.4862879812717438, 0.9595757126808167]"
"[0.6011039614677429, 0.9600042104721069]"
"[0.6067925691604614, 0.9608614444732666]"
"[0.5157151222229004, 0.9625222086906433]"
"[0.5444538593292236, 0.9634240865707397]"
"[0.5685675144195557, 0.9635298848152161]"
"[0.6891525983810425, 0.9594706296920776]"
"[0.6475976705551147, 0.9613557457923889]"
"[0.6833316683769226, 0.9628944396972656]"
"[0.5077803730964661, 0.9626196026802063]"
"[0.5919812321662903, 0.9598494172096252]"
"[0.6833813786506653, 0.9599349498748779]"
"[0.6128774285316467, 0.9634374976158142]"
"[0.549654483795166, 0.9581032991409302]"
"[0.623293399810791, 0.9619771838188171]"
"[0.5314293503761292, 0.9613540768623352]"
"[0.6800251603126526, 0.96092689037323]"
"[0.7152340412139893, 0.9566715955734253]"
"[0.5663204789161682, 0.9612231850624084]"
"[0.6764305830001831, 0.9629298448562622]"
"[0.45430341362953186, 0.9631372690200806]"
"[0.5121291875839233, 0.9609885811805725]"
"[0.7416356801986694, 0.9607383012771606]"
"[0.8855842351913452, 0.9642928838729858]"
"[0.5679792165756226, 0.9618783593177795]"
"[0.5766370892524719, 0.96193927526474]"
"[0.5574167370796204, 0.9626603722572327]"
"[0.6421533823013306, 0.963392436504364]"
"[0.6243449449539185, 0.9628280401229858]"
"[0.5872324109077454, 0.9609546661376953]"
"[0.5527879595756531, 0.960341215133667]"
"[0.7052175998687744, 0.9589247107505798]"
"[0.5722887516021729, 0.9609796404838562]"
"[0.7493810653686523, 0.957463264465332]"
"[0.6568004488945007, 0.9594796299934387]"
"[0.5330569744110107, 0.9610154628753662]"
"[0.8204795718193054, 0.9610173106193542]"
"[0.5594773292541504, 0.9631746411323547]"
"[0.5063261389732361, 0.9626647233963013]"
"[0.7847342491149902, 0.9586682915687561]"
"[0.6014347672462463, 0.9604203701019287]"
"[0.5007078051567078, 0.9593822956085205]"
"[0.4368048906326294, 0.9620915055274963]"
"[0.48280784487724304, 0.96095210313797]"
"[0.8343049883842468, 0.9624285697937012]"
"[0.8197389841079712, 0.9652892351150513]"
"[0.5508083701133728, 0.964841365814209]"
"[0.5779163241386414, 0.9625406861305237]"
"[0.5415085554122925, 0.9604821801185608]"
"[0.5773097276687622, 0.9629864692687988]"
"[0.8589829206466675, 0.9605464935302734]"
"[0.7583408951759338, 0.9614269733428955]"
"[0.6500872373580933, 0.9603716135025024]"
"[0.5278140902519226, 0.9611445069313049]"
"[0.6713075637817383, 0.9612554311752319]"
"[0.6153072118759155, 0.961208701133728]"
"[0.5689560770988464, 0.9641864895820618]"
"[0.5922548770904541, 0.9631733894348145]"
"[0.44707822799682617, 0.9629265069961548]"
"[0.5790479183197021, 0.963137686252594]"
"[0.5556326508522034, 0.9625688195228577]"
"[0.5892590880393982, 0.9603079557418823]"
"[0.5514364242553711, 0.9625345468521118]"
"[0.47381383180618286, 0.9621383547782898]"
"[0.6859893202781677, 0.9588713645935059]"
"[0.9358689785003662, 0.9590643644332886]"
"[0.5329853892326355, 0.9622758030891418]"
"[0.5245985984802246, 0.9619799852371216]"
"[0.9504213333129883, 0.9621212482452393]"
"[0.7715349197387695, 0.9637618660926819]"
"[0.8719732761383057, 0.9611273407936096]"
"[0.49183666706085205, 0.9617159366607666]"
"[0.5613691210746765, 0.9623572826385498]"
"[0.526262104511261, 0.9672113060951233]"
"[0.7409204244613647, 0.9610466957092285]"
"[0.7434490323066711, 0.9625101685523987]"
"[0.7805793285369873, 0.9615593552589417]"
"[0.5297985076904297, 0.9602898955345154]"
"[0.6447286605834961, 0.963182270526886]"
"[0.4883003234863281, 0.9637187719345093]"
"[0.5601940751075745, 0.9621909260749817]"
"[0.48694512248039246, 0.9591567516326904]"
"[0.5456942915916443, 0.9627821445465088]"
"[0.7314927577972412, 0.9610443115234375]"
"[0.8448431491851807, 0.9596596360206604]"
"[0.6585612893104553, 0.9599948525428772]"
"[0.5795255303382874, 0.9640706181526184]"
"[0.5166086554527283, 0.9630703330039978]"
"[0.6045442223548889, 0.9631463289260864]"
"[0.42929309606552124, 0.9622484445571899]"
"[0.4996797740459442, 0.9667279124259949]"
"[0.45888838171958923, 0.9601879119873047]"
"[0.5967162251472473, 0.9598157405853271]"
"[0.6233277916908264, 0.9608551859855652]"
"[0.7123627662658691, 0.9615257978439331]"
"[0.6099460124969482, 0.9604624509811401]"
"[0.5587351322174072, 0.9616062045097351]"
"[0.5699098110198975, 0.9615938067436218]"
"[0.6972620487213135, 0.9610430598258972]"
"[0.5425605773925781, 0.9620543718338013]"
"[0.6846689581871033, 0.9601417183876038]"
"[0.6226975321769714, 0.9642820358276367]"
"[0.6633562445640564, 0.9596378803253174]"
"[0.5708042979240417, 0.9602286219596863]"
"[0.6438831090927124, 0.9600721597671509]"
"[0.7682024240493774, 0.9638665914535522]"
"[0.5803632736206055, 0.960978627204895]"
"[0.6686017513275146, 0.9609136581420898]"
"[0.7412382960319519, 0.9619266986846924]"
"[0.8052027821540833, 0.9579232335090637]"
"[0.48993831872940063, 0.9653997421264648]"
"[0.6724469661712646, 0.963197648525238]"
"[0.49610334634780884, 0.9622863531112671]"
"[0.5345786213874817, 0.961128830909729]"
"[0.5491417646408081, 0.960107684135437]"
"[0.6360495686531067, 0.9571298360824585]"
"[1.0942625999450684, 0.9588717818260193]"
"[0.5135898590087891, 0.9623232483863831]"
"[0.5297894477844238, 0.9616583585739136]"
"[0.6299395561218262, 0.9583717584609985]"
"[0.6271189451217651, 0.9608465433120728]"
"[0.8178319931030273, 0.9621286988258362]"
"[0.6440515518188477, 0.9605055451393127]"
"[0.8278491497039795, 0.9634840488433838]"
"[0.45418310165405273, 0.9623016119003296]"
"[0.6243231892585754, 0.9637002348899841]"
"[0.6172969341278076, 0.9620538353919983]"
"[0.5502967834472656, 0.962910532951355]"
"[0.6601303219795227, 0.9604407548904419]"
"[0.5372511744499207, 0.961932361125946]"
"[0.5220699906349182, 0.9628450274467468]"
"[0.5890198349952698, 0.9607294797897339]"
"[0.9605230093002319, 0.9630426168441772]"
"[0.541916012763977, 0.960721492767334]"
"[0.6053465008735657, 0.9627888798713684]"
"[0.5450648069381714, 0.9599076509475708]"
"[0.819818377494812, 0.9627571105957031]"
"[0.7283642292022705, 0.9606170058250427]"
"[0.5554226636886597, 0.9624773859977722]"
"[0.46450746059417725, 0.9612758159637451]"
"[0.4631548523902893, 0.9629745483398438]"
"[0.5921021103858948, 0.9627235531806946]"
"[0.696821391582489, 0.9583945274353027]"
"[0.5608953237533569, 0.9610477685928345]"
"[0.49726104736328125, 0.9585065841674805]"
"[0.4919882118701935, 0.9612511992454529]"
"[0.5590395927429199, 0.9613156914710999]"
"[0.6984052658081055, 0.9608476161956787]"
"[0.5294771790504456, 0.9630750417709351]"
"[0.40668562054634094, 0.9659635424613953]"
"[0.452822744846344, 0.9592192769050598]"
"[0.5771362781524658, 0.9623724222183228]"
"[0.6804707050323486, 0.9640342593193054]"
"[0.6687482595443726, 0.962775468826294]"
"[0.5366629362106323, 0.9623044729232788]"
"[0.6601674556732178, 0.9614805579185486]"
"[0.5720148682594299, 0.9623352289199829]"
"[0.6522608995437622, 0.9641206860542297]"
"[0.5384216904640198, 0.9630897045135498]"
"[0.5864080190658569, 0.9606680274009705]"
"[0.7897022366523743, 0.9624523520469666]"
"[0.4944824278354645, 0.9624476432800293]"
"[0.5458440780639648, 0.9603833556175232]"
"[0.7640049457550049, 0.9643245935440063]"
"[0.6865010857582092, 0.9617640972137451]"
"[0.589057445526123, 0.9614625573158264]"
"[0.4324228763580322, 0.9624924063682556]"
"[0.9325994253158569, 0.9606747031211853]"
"[0.6383139491081238, 0.9622011780738831]"
"[0.5642771124839783, 0.9621021747589111]"
"[0.44058898091316223, 0.9658557772636414]"
"[0.512787401676178, 0.9619613885879517]"
"[0.496287077665329, 0.964097261428833]"
"[0.5725258588790894, 0.9632666110992432]"
"[0.5508625507354736, 0.9639296531677246]"
"[0.6129659414291382, 0.960978627204895]"
"[0.7175877094268799, 0.9624119997024536]"
"[0.4918491840362549, 0.958693265914917]"
"[0.5586740374565125, 0.9604953527450562]"
"[0.592395544052124, 0.9604810476303101]"
"[0.6073746681213379, 0.9615774154663086]"
"[0.6420386433601379, 0.9660247564315796]"
"[0.48924121260643005, 0.9631112217903137]"
"[0.5120719075202942, 0.9562735557556152]"
"[0.6908156871795654, 0.9581187963485718]"
"[0.9677340984344482, 0.9614086151123047]"
"[0.48669007420539856, 0.9608301520347595]"
"[0.46393030881881714, 0.9610859751701355]"
"[0.8683241605758667, 0.962390124797821]"
"[0.7200813293457031, 0.9633477926254272]"
"[0.5372844934463501, 0.9624154567718506]"
"[0.5326234698295593, 0.9598193764686584]"
"[0.528678297996521, 0.961326003074646]"
"[0.5672450661659241, 0.9600706696510315]"
"[0.7737416625022888, 0.9616672396659851]"
"[0.8316048383712769, 0.9610720276832581]"
"[0.510370135307312, 0.9583988189697266]"
"[0.7225980758666992, 0.9647954702377319]"
"[0.8882659673690796, 0.9624842405319214]"
"[0.5034878849983215, 0.9633163809776306]"
"[0.5046470165252686, 0.9601021409034729]"
"[0.6331022381782532, 0.9613124132156372]"
"[0.45543697476387024, 0.9618456363677979]"
"[0.5517845749855042, 0.9604877233505249]"
"[0.708282470703125, 0.9609836339950562]"
"[0.5547116994857788, 0.9611564874649048]"
"[0.5094941854476929, 0.9601532220840454]"
"[0.5850813388824463, 0.962951123714447]"
"[0.6228600144386292, 0.9607843160629272]"
"[0.6853940486907959, 0.960040271282196]"
"[0.5451890826225281, 0.9627617001533508]"
"[0.5894730687141418, 0.9610806107521057]"
"[0.551304280757904, 0.9618649482727051]"
"[0.5411728620529175, 0.9613341689109802]"
"[0.4744492471218109, 0.9613619446754456]"
"[0.616104006767273, 0.9618329405784607]"
"[0.493542343378067, 0.9606945514678955]"
"[0.5514609217643738, 0.9627283215522766]"
"[0.46494826674461365, 0.9621211886405945]"
"[0.5729049444198608, 0.9621890783309937]"
"[0.5162111520767212, 0.9624426364898682]"
"[0.6333462595939636, 0.9606741666793823]"
"[0.5608739256858826, 0.9586854577064514]"
"[0.4305547773838043, 0.9641891121864319]"
"[0.6678942441940308, 0.9618297219276428]"
"[0.5930287837982178, 0.9612041711807251]"
"[0.6798474788665771, 0.9615547060966492]"
"[0.9426426887512207, 0.9609599709510803]"
"[0.9072089791297913, 0.9627185463905334]"
"[0.6430920362472534, 0.9596020579338074]"
"[0.7485651969909668, 0.9625951647758484]"
"[0.4883324205875397, 0.9612216949462891]"
"[0.41071775555610657, 0.9637517333030701]"
"[0.6148089170455933, 0.9611075520515442]"
"[0.5070522427558899, 0.9586492776870728]"
"[0.7618342638015747, 0.9610817432403564]"
"[0.6931668519973755, 0.9599277973175049]"
"[0.5615634918212891, 0.9619921445846558]"
"[0.48805728554725647, 0.9575549960136414]"
"[0.6080911159515381, 0.9588325023651123]"
"[0.517274022102356, 0.9607601761817932]"
"[0.662283718585968, 0.9609400629997253]"
"[0.6497241854667664, 0.9623748660087585]"
"[0.5051044821739197, 0.9596726894378662]"
"[0.41848644614219666, 0.9631069898605347]"
"[0.6356721520423889, 0.9594460725784302]"
"[0.6549903154373169, 0.9634336233139038]"
"[0.5619633793830872, 0.9639344215393066]"
"[0.4944915473461151, 0.9632545709609985]"
"[0.6630311608314514, 0.9616260528564453]"
"[0.5166717767715454, 0.9591960310935974]"
"[0.6021342277526855, 0.9603570103645325]"
"[0.7861137986183167, 0.9593796133995056]"
"[0.786845326423645, 0.9623898863792419]"
"[0.6405768990516663, 0.9562788605690002]"
"[0.4918598234653473, 0.9636739492416382]"
"[0.6005039215087891, 0.9615833163261414]"
"[0.8455427289009094, 0.9624459147453308]"
"[0.7030871510505676, 0.9600729942321777]"
"[0.5356436967849731, 0.9636865854263306]"
"[0.845437228679657, 0.9620588421821594]"
"[1.1124346256256104, 0.9595260620117188]"
"[0.6184991598129272, 0.9617722034454346]"
"[0.5531502366065979, 0.9637382626533508]"
"[0.5225355625152588, 0.9598990082740784]"
"[0.871344804763794, 0.9632554650306702]"
"[0.5826879739761353, 0.9626436829566956]"
"[0.53099125623703, 0.9596649408340454]"
"[0.5995512008666992, 0.9640287756919861]"
"[0.5745124220848083, 0.9604079127311707]"
"[0.7076298594474792, 0.9617329835891724]"
"[0.4752082824707031, 0.9623075723648071]"
"[0.7208499312400818, 0.9601974487304688]"
"[0.7257161140441895, 0.963605523109436]"
"[0.59742671251297, 0.9588199257850647]"
"[0.534143328666687, 0.959554135799408]"
"[0.5621922016143799, 0.963549792766571]"
"[0.8786791563034058, 0.9604845643043518]"
"[0.6719546318054199, 0.9616994261741638]"
"[0.6157098412513733, 0.9606947302818298]"
"[0.6985532641410828, 0.9629396796226501]"
"[0.662704348564148, 0.9605091214179993]"
"[0.7647175788879395, 0.9601013660430908]"
"[0.4726806879043579, 0.962287425994873]"
"[0.521116316318512, 0.9598578810691833]"
"[0.571324348449707, 0.959880530834198]"
"[0.6270456910133362, 0.9607186317443848]"
"[0.5066919326782227, 0.9608241319656372]"
"[0.5289961099624634, 0.9640322327613831]"
"[0.49627184867858887, 0.961208164691925]"
"[0.6423696279525757, 0.9601989984512329]"
"[0.5019716024398804, 0.9636929631233215]"
"[0.4874469041824341, 0.960544228553772]"
"[0.6549728512763977, 0.9635301232337952]"
"[1.094726324081421, 0.9623563289642334]"
"[0.82508385181427, 0.9603226184844971]"
"[0.6526415944099426, 0.9616812467575073]"
"[0.6394599080085754, 0.9633813500404358]"
"[0.65520179271698, 0.9615058898925781]"
"[0.5056316256523132, 0.957607626914978]"
"[0.6121547818183899, 0.9619612693786621]"
"[0.4928058087825775, 0.9624536037445068]"
"[0.5000537633895874, 0.9639853835105896]"
"[0.5427814722061157, 0.9621720314025879]"
"[0.6434981226921082, 0.9598893523216248]"
"[0.5450214147567749, 0.9598658084869385]"
"[0.5692289471626282, 0.9624634981155396]"
"[0.4694634675979614, 0.9630941152572632]"
"[0.5808202624320984, 0.960422158241272]"
