model_num,lambda,loss,accuracy,epoch,l2,l0,re loss
3,2e-05,0.2177705615758896,0.94402676820755,1760,446.10101318359375,415.020263671875,0.00830040406435728
4,2e-05,0.1902657002210617,0.9561573266983032,1760,389.1017150878906,426.6791687011719,0.008533583022654057
5,2e-05,0.2453000843524933,0.9390024542808533,1760,527.4013671875,436.15814208984375,0.008723163045942783
6,2e-05,0.1804421991109848,0.9561595916748047,1760,469.01397705078125,391.9316711425781,0.00783863291144371
7,2e-05,0.22318483889102936,0.9444444179534912,1760,473.2223815917969,373.41650390625,0.00746832974255085
8,2e-05,0.17957182228565216,0.957852840423584,1760,503.09246826171875,412.6773681640625,0.008253548294305801
9,2e-05,0.19128137826919556,0.9599999785423279,1760,456.17535400390625,370.1177978515625,0.007402355782687664
10,2e-05,0.1657620668411255,0.9560052752494812,1760,468.2283630371094,373.59136962890625,0.007471826858818531
11,2e-05,0.38851943612098694,0.9146133661270142,1760,567.1470947265625,362.4351501464844,0.007248702459037304
12,2e-05,0.22876110672950745,0.9410063624382019,1760,393.23162841796875,374.8339538574219,0.007496679201722145
13,2e-05,0.2553386986255646,0.9382715821266174,1760,435.8222961425781,381.4637145996094,0.007629274390637875
14,2e-05,0.1670389622449875,0.9626326560974121,1760,329.9379577636719,405.3651428222656,0.008107302710413933
15,2e-05,0.16440539062023163,0.961194634437561,1760,342.35760498046875,450.5556945800781,0.00901111401617527
1,2.5e-05,0.18924984335899353,0.9521645307540894,1760,323.2843933105469,425.49481201171875,0.010637369006872177
2,2.5e-05,0.18474450707435608,0.9555997252464294,1760,459.76690673828125,380.0038146972656,0.009500095620751381
3,2.5e-05,0.18341203033924103,0.9554098844528198,1760,657.7669677734375,365.6592102050781,0.009141480550169945
4,2.5e-05,0.2577836215496063,0.9358773827552795,1760,551.8645629882812,411.67510986328125,0.010291878134012222
5,2.5e-05,0.1894846111536026,0.9487115740776062,1760,291.0123291015625,367.30865478515625,0.00918271578848362
6,2.5e-05,0.18966352939605713,0.9554876685142517,1760,383.36041259765625,352.45098876953125,0.00881127454340458
